PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
39719687,"Microglial Depletion, a New Tool in Neuroinflammatory Disorders: Comparison of Pharmacological Inhibitors of the CSF-1R","Guenoun D, Blaise N, Sellam A, Roupret-Serzec J, Jacquens A, Steenwinckel JV, Gressens P, Bokobza C.",Glia. 2025 Apr;73(4):686-700. doi: 10.1002/glia.24664. Epub 2024 Dec 24.,Guenoun D,Glia,2025,25-12-2024,PMC11845850,,10.1002/glia.24664
39719518,Molecular Signaling Pathways of Quercetin in Alzheimer's Disease: A Promising Arena,"Alsaleem MA, Al-Kuraishy HM, Al-Gareeb AI, Albuhadily AK, Alrouji M, Yassen ASA, Alexiou A, Papadakis M, Batiha GE.",Cell Mol Neurobiol. 2024 Dec 24;45(1):8. doi: 10.1007/s10571-024-01526-w.,Alsaleem MA,Cell Mol Neurobiol,2024,24-12-2024,PMC11668837,,10.1007/s10571-024-01526-w
39717349,Therapeutic agents for Alzheimer's disease: a critical appraisal,Weinstock M.,Front Aging Neurosci. 2024 Dec 9;16:1484615. doi: 10.3389/fnagi.2024.1484615. eCollection 2024.,Weinstock M,Front Aging Neurosci,2024,24-12-2024,PMC11663918,,10.3389/fnagi.2024.1484615
39716328,Anti-diabetic agents and the risks of dementia in patients with type 2 diabetes: a systematic review and network meta-analysis of observational studies and randomized controlled trials,"Li Z, Lin C, Cai X, Lv F, Yang W, Ji L.",Alzheimers Res Ther. 2024 Dec 23;16(1):272. doi: 10.1186/s13195-024-01645-y.,Li Z,Alzheimers Res Ther,2024,24-12-2024,PMC11668108,,10.1186/s13195-024-01645-y
39711072,Overview of Alzheimer's Disease Neuroimaging Initiative and future clinical trials,"Weiner MW, Kanoria S, Miller MJ, Aisen PS, Beckett LA, Conti C, Diaz A, Flenniken D, Green RC, Harvey DJ, Jack CR Jr, Jagust W, Lee EB, Morris JC, Nho K, Nosheny R, Okonkwo OC, Perrin RJ, Petersen RC, Rivera-Mindt M, Saykin AJ, Shaw LM, Toga AW, Tosun D, Veitch DP; Alzheimer's Disease Neuroimaging Initiative.",Alzheimers Dement. 2025 Jan;21(1):e14321. doi: 10.1002/alz.14321. Epub 2024 Dec 22.,Weiner MW,Alzheimers Dement,2025,23-12-2024,PMC11775462,,10.1002/alz.14321
39711065,"ADNI Private Partners Scientific Board (PPSB) Diversity, Equity, and Inclusion (DE&I) Working Group: A new collaboration that crosses boundaries for industry, academia, and under-represented patients","Croney R, Fristed E, Masterman D, Meyer M, Sachdev P, Vasanthakumar A, Weber CJ, Devins T.",Alzheimers Dement. 2025 Jan;21(1):e14248. doi: 10.1002/alz.14248. Epub 2024 Dec 22.,Croney R,Alzheimers Dement,2025,23-12-2024,PMC11772309,,10.1002/alz.14248
39702132,"Effects of Probucol on plasma amyloid-β transport in patients with hyperlipidemia: a 12-week randomized, double-blind, placebo-controlled trial","Dang L, Wei S, Zhao Y, Zhou R, Shang S, Gao F, Wang J, Wang J, Qu Q.",Lipids Health Dis. 2024 Dec 19;23(1):410. doi: 10.1186/s12944-024-02398-1.,Dang L,Lipids Health Dis,2024,20-12-2024,PMC11657980,,10.1186/s12944-024-02398-1
39697158,Defining benefit: Clinically and biologically meaningful outcomes in the next-generation Alzheimer's disease clinical care pathway,"Elhage A, Cohen S, Cummings J, van der Flier WM, Aisen P, Cho M, Bell J, Hampel H.",Alzheimers Dement. 2025 Feb;21(2):e14425. doi: 10.1002/alz.14425. Epub 2024 Dec 19.,Elhage A,Alzheimers Dement,2025,19-12-2024,PMC11848336,,10.1002/alz.14425
39696300,"The double life of glucose metabolism: brain health, glycemic homeostasis, and your patients with type 2 diabetes","Schwartz SS, Herman ME, Tun MTH, Barone E, Butterfield DA.",BMC Med. 2024 Dec 18;22(1):582. doi: 10.1186/s12916-024-03763-8.,Schwartz SS,BMC Med,2024,19-12-2024,PMC11657227,,10.1186/s12916-024-03763-8
39695988,Exploring the gut-brain axis in alzheimer's disease treatment via probiotics: evidence from animal studies-a systematic review and meta-analysis,"Siripaopradit Y, Chatsirisakul O, Ariyapaisalkul T, Sereemaspun A.",BMC Neurol. 2024 Dec 19;24(1):481. doi: 10.1186/s12883-024-03978-5.,Siripaopradit Y,BMC Neurol,2024,19-12-2024,PMC11657461,,10.1186/s12883-024-03978-5
39690983,Role of Nonsteroidal Anti-Inflammatory Drugs as a Protective Factor in Alzheimer's Disease: A Systematic Review and Meta-Analysis,"Asthana A, Tripathi S, Agarwal R.",Neurol India. 2024 Nov 1;72(6):1144-1151. doi: 10.4103/ni.ni_1073_22. Epub 2024 Dec 17.,Asthana A,Neurol India,2024,18-12-2024,,,10.4103/ni.ni_1073_22
39686614,Comparison of visit-to-visit blood pressure variability and time in target range in predicting risk for cognitive outcomes in the SPRINT trial,"Sible IJ, Nation DA.",J Alzheimers Dis. 2025 Jan;103(2):396-405. doi: 10.1177/13872877241303378. Epub 2024 Dec 16.,Sible IJ,J Alzheimers Dis,2025,17-12-2024,PMC11957754,NIHMS2063428,10.1177/13872877241303378
39684561,Medication Exposure and Risk of Dementia and Alzheimer's Disease,"Sharma N, An SSA, Kim SY.",Int J Mol Sci. 2024 Nov 29;25(23):12850. doi: 10.3390/ijms252312850.,Sharma N,Int J Mol Sci,2024,17-12-2024,PMC11641710,,10.3390/ijms252312850
39684447,Current and Potential Use of Biologically Active Compounds Derived from Cannabis sativa L. in the Treatment of Selected Diseases,Bukowska B.,Int J Mol Sci. 2024 Nov 27;25(23):12738. doi: 10.3390/ijms252312738.,Bukowska B,Int J Mol Sci,2024,17-12-2024,PMC11641728,,10.3390/ijms252312738
39684308,Magnesium (Mg) and Neurodegeneration: A Comprehensive Overview of Studies on Mg Levels in Biological Specimens in Humans Affected Some Neurodegenerative Disorders with an Update on Therapy and Clinical Trials Supplemented with Selected Animal Studies,"Ścibior A, Llopis J, Dobrakowski PP, Męcik-Kronenberg T.",Int J Mol Sci. 2024 Nov 23;25(23):12595. doi: 10.3390/ijms252312595.,Ścibior A,Int J Mol Sci,2024,17-12-2024,PMC11641227,,10.3390/ijms252312595
39683904,"Glutamate: Molecular Mechanisms and Signaling Pathway in Alzheimer's Disease, a Potential Therapeutic Target","Puranik N, Song M.",Molecules. 2024 Dec 5;29(23):5744. doi: 10.3390/molecules29235744.,Puranik N,Molecules,2024,17-12-2024,PMC11643865,,10.3390/molecules29235744
39683859,Potential Protective Effects of Pungent Flavor Components in Neurodegenerative Diseases,"Guo F, Qin X, Mao J, Xu Y, Xie J.",Molecules. 2024 Dec 2;29(23):5700. doi: 10.3390/molecules29235700.,Guo F,Molecules,2024,17-12-2024,PMC11643850,,10.3390/molecules29235700
39683463,"Dietary Phytic Acid, Dephytinization, and Phytase Supplementation Alter Trace Element Bioavailability-A Narrative Review of Human Interventions","Chondrou T, Adamidi N, Lygouras D, Hirota SA, Androutsos O, Svolos V.",Nutrients. 2024 Nov 27;16(23):4069. doi: 10.3390/nu16234069.,Chondrou T,Nutrients,2024,17-12-2024,PMC11643945,,10.3390/nu16234069
39683391,Food Functional Factors in Alzheimer's Disease Intervention: Current Research Progress,"Nie RZ, Luo HM, Liu YP, Wang SS, Hou YJ, Chen C, Wang H, Lv HL, Tao XY, Jing ZH, Zhang HK, Li PF.",Nutrients. 2024 Nov 22;16(23):3998. doi: 10.3390/nu16233998.,Nie RZ,Nutrients,2024,17-12-2024,PMC11643887,,10.3390/nu16233998
39678681,Effects of Probiotics on Neurodegenerative Disease-Related Symptoms and Systemic Inflammation: A Systematic Review,"Zhu F, Yin S, Wang Y, Zhong Y, Ji Q, Wu J.",Int J Gen Med. 2024 Dec 10;17:5941-5958. doi: 10.2147/IJGM.S499406. eCollection 2024.,Zhu F,Int J Gen Med,2024,16-12-2024,PMC11645901,,10.2147/IJGM.S499406
39676256,Unlocking the potential of melanotransferrin (CD228): implications for targeted drug development and novel therapeutic avenues,"Zhang Y, Song D, Han X, Liu H, Wang Y, Wang X, Dou C.",Expert Opin Ther Targets. 2024 Dec;28(12):1117-1129. doi: 10.1080/14728222.2024.2441705. Epub 2024 Dec 19.,Zhang Y,Expert Opin Ther Targets,2024,16-12-2024,,,10.1080/14728222.2024.2441705
39675366,Associations between adverse pregnancy outcomes and cognitive impairment and dementia: a systematic review and meta-analysis,"Miller EC, Conley P, Alirezaei M, Wolfova K, Gonzales MM, Tan ZS, Tom SE, Yee LM, Brickman AM, Bello NA.",Lancet Healthy Longev. 2024 Dec;5(12):100660. doi: 10.1016/j.lanhl.2024.100660. Epub 2024 Dec 12.,Miller EC,Lancet Healthy Longev,2024,15-12-2024,PMC11726346,NIHMS2044849,10.1016/j.lanhl.2024.100660
39670449,"Cognition, Depression, Pain, and Exercise Motives as Predictors of Longitudinal Profiles of Physical Activity During a Seven-Year Follow-Up Among Older Adults","Kyrönlahti S, Lehtisalo J, Ngandu T, Kivipelto M, Strandberg T, Antikainen R, Laatikainen T, Soininen H, Tuomilehto J, Havulinna S, Kulmala J.",Scand J Med Sci Sports. 2024 Dec;34(12):e14777. doi: 10.1111/sms.14777.,Kyrönlahti S,Scand J Med Sci Sports,2024,13-12-2024,PMC11638919,,10.1111/sms.14777
39667708,Discovery of the microbiota-gut-brain axis mechanisms of acupuncture for amnestic mild cognitive impairment based on multi-omics analyses: A pilot study,"Yin ZH, Bao QN, Li YQ, Liu YW, Wang ZQ, Ye F, He X, Zhang XY, Zhong WQ, Wu KX, Yao J, Chen ZW, Zhao L, Liang FR.",Complement Ther Med. 2025 Mar;88:103118. doi: 10.1016/j.ctim.2024.103118. Epub 2024 Dec 10.,Yin ZH,Complement Ther Med,2025,12-12-2024,,,10.1016/j.ctim.2024.103118
39666629,Effects of rivastigmine on gait in patients with neurodegenerative disorders: A systematic review and meta-analysis,"Shim SR, Kim JY, Kwon KY, Shin J, Lee Y, Lee SM.",PLoS One. 2024 Dec 12;19(12):e0310900. doi: 10.1371/journal.pone.0310900. eCollection 2024.,Shim SR,PLoS One,2024,12-12-2024,PMC11637393,,10.1371/journal.pone.0310900
39664530,A meta-analysis of the efficacy of physical exercise interventions on activities of daily living in patients with Alzheimer's disease,"Xiao Y, Fan Y, Feng Z.",Front Public Health. 2024 Nov 27;12:1485807. doi: 10.3389/fpubh.2024.1485807. eCollection 2024.,Xiao Y,Front Public Health,2024,12-12-2024,PMC11631704,,10.3389/fpubh.2024.1485807
39664391,Broadening horizons: the multifaceted role of ferroptosis in breast cancer,"Ge A, Xiang W, Li Y, Zhao D, Chen J, Daga P, Dai CC, Yang K, Yan Y, Hao M, Zhang B, Xiao W.",Front Immunol. 2024 Nov 27;15:1455741. doi: 10.3389/fimmu.2024.1455741. eCollection 2024.,Ge A,Front Immunol,2024,12-12-2024,PMC11631881,,10.3389/fimmu.2024.1455741
39663901,Oxidative stress and chronic cerebral hypoperfusion: An overview from preclinical rodent models,"Kimura S, Iwata M, Takase H, Lo EH, Arai K.",J Cereb Blood Flow Metab. 2025 Mar;45(3):381-395. doi: 10.1177/0271678X241305899. Epub 2024 Dec 12.,Kimura S,J Cereb Blood Flow Metab,2025,12-12-2024,PMC11635795,,10.1177/0271678X241305899
39659348,The Role of Omega-3 Fatty Acid Supplementation in Slowing Cognitive Decline Among Elderly Patients With Alzheimer's Disease: A Systematic Review of Randomized Controlled Trials,"Deshmukh GV, Niaz H, Bai R, Kim DH, Kim JW, Asghar J, Ramzan T, Maqbool M, Abushalha NB, Arif S, Khan S.",Cureus. 2024 Nov 10;16(11):e73390. doi: 10.7759/cureus.73390. eCollection 2024 Nov.,Deshmukh GV,Cureus,2024,11-12-2024,PMC11630619,,10.7759/cureus.73390
39644533,The need for personalization when sharing results of amyloid imaging for Alzheimer's disease: Insights from a randomized experimental study,"Fruijtier AD, van der Flier WM, van Maurik I, van der Schaar J, Pijnenburg YAL, Smets EMA, Visser LNC.",Patient Educ Couns. 2025 Feb;131:108587. doi: 10.1016/j.pec.2024.108587. Epub 2024 Nov 28.,Fruijtier AD,Patient Educ Couns,2025,07-12-2024,,,10.1016/j.pec.2024.108587
39626378,A preclinical and phase I clinical study of ex vivo-expanded amyloid beta-specific human regulatory T cells in Alzheimer's disease,"Yang H, Byun MS, Ha NY, Yang J, Park SY, Park JE, Yi D, Chang YT, Jung WS, Kim JY, Kim J, Lee DY, Bae H.",Biomed Pharmacother. 2024 Dec;181:117721. doi: 10.1016/j.biopha.2024.117721. Epub 2024 Dec 2.,Yang H,Biomed Pharmacother,2024,03-12-2024,,,10.1016/j.biopha.2024.117721
39623197,Emerging Pharmacological Approaches for Psychosis and Agitation in Alzheimer's Disease,"Imbimbo C, Cotta Ramusino M, Leone S, Mazzacane F, De Franco V, Gatti A, Perini G, Costa A.",CNS Drugs. 2025 Feb;39(2):143-160. doi: 10.1007/s40263-024-01133-9. Epub 2024 Dec 2.,Imbimbo C,CNS Drugs,2025,02-12-2024,PMC11769872,,10.1007/s40263-024-01133-9
39617303,Clinical evidence of acupuncture for amnestic mild cognitive impairment: A systematic review and meta-analysis of randomized controlled trials,"Lin G, Yie SLJ, Guo S, Li X, Xu L.",Complement Ther Med. 2025 Mar;88:103114. doi: 10.1016/j.ctim.2024.103114. Epub 2024 Nov 30.,Lin G,Complement Ther Med,2025,01-12-2024,,,10.1016/j.ctim.2024.103114
39614040,Effect of transcranial direct current stimulation with cognitive training on executive functions in healthy older adults: a secondary analysis from the ACT trial,"Aksu S, Indahlastari A, O'Shea A, Marsiske M, Cohen R, Alexander GE, DeKosky ST, Hishaw GA, Dai Y, Wu SS, Woods AJ.",Geroscience. 2025 Feb;47(1):1361-1380. doi: 10.1007/s11357-024-01455-y. Epub 2024 Nov 30.,Aksu S,Geroscience,2025,29-11-2024,PMC11872955,,10.1007/s11357-024-01455-y
39600165,[New Alzheimer's treatments - a need for national preparations and coordination],"Granberg T, Börjesson Hanson A, Fällmar D, Basun H, Wahlund LO.",Lakartidningen. 2024 Nov 20;121:24067.,Granberg T,Lakartidningen,2024,27-11-2024,,,
39599527,Infectious Disease as a Modifiable Risk Factor for Dementia: A Narrative Review,"Farrer TJ, Moore JD, Chase M, Gale SD, Hedges DW.",Pathogens. 2024 Nov 7;13(11):974. doi: 10.3390/pathogens13110974.,Farrer TJ,Pathogens,2024,27-11-2024,PMC11597442,,10.3390/pathogens13110974
39598703,New Insights into the Development of Donepezil-Based Hybrid and Natural Molecules as Multi-Target Drug Agents for Alzheimer's Disease Treatment,"Angelova VT, Stoyanov BP, Simeonova R.",Molecules. 2024 Nov 11;29(22):5314. doi: 10.3390/molecules29225314.,Angelova VT,Molecules,2024,27-11-2024,PMC11596391,,10.3390/molecules29225314
39596657,Assessing the Impact and Cost-Effectiveness of Exposome Interventions on Alzheimer's Disease: A Review of Agent-Based Modeling and Other Data Science Methods for Causal Inference,"Liu SH, Weber ES, Manz KE, McCarthy KJ, Chen Y, Schüffler PJ, Zhu CW, Tracy M.",Genes (Basel). 2024 Nov 12;15(11):1457. doi: 10.3390/genes15111457.,Liu SH,Genes (Basel),2024,27-11-2024,PMC11593565,,10.3390/genes15111457
39596544,The Role of Alpha-Linolenic Acid and Other Polyunsaturated Fatty Acids in Mental Health: A Narrative Review,"Bertoni C, Pini C, Mazzocchi A, Agostoni C, Brambilla P.",Int J Mol Sci. 2024 Nov 20;25(22):12479. doi: 10.3390/ijms252212479.,Bertoni C,Int J Mol Sci,2024,27-11-2024,PMC11594615,,10.3390/ijms252212479
39596098,"Therapeutic Challenges Derived from the Interaction Among Apolipoprotein E, Cholesterol, and Amyloid in Alzheimer's Disease",Menendez-Gonzalez M.,Int J Mol Sci. 2024 Nov 8;25(22):12029. doi: 10.3390/ijms252212029.,Menendez-Gonzalez M,Int J Mol Sci,2024,27-11-2024,PMC11593474,,10.3390/ijms252212029
39596082,Caffeine: A Multifunctional Efficacious Molecule with Diverse Health Implications and Emerging Delivery Systems,"Song X, Singh M, Lee KE, Vinayagam R, Kang SG.",Int J Mol Sci. 2024 Nov 8;25(22):12003. doi: 10.3390/ijms252212003.,Song X,Int J Mol Sci,2024,27-11-2024,PMC11593559,,10.3390/ijms252212003
39595941,Mechanism of Metal Complexes in Alzheimer's Disease,"Liu Y, Ma J, Zhang Q, Wang Y, Sun Q.",Int J Mol Sci. 2024 Nov 5;25(22):11873. doi: 10.3390/ijms252211873.,Liu Y,Int J Mol Sci,2024,27-11-2024,PMC11593898,,10.3390/ijms252211873
39595543,"Exposure to Metals, Pesticides, and Air Pollutants: Focus on Resulting DNA Methylation Changes in Neurodegenerative Diseases","Stoccoro A, Coppedè F.",Biomolecules. 2024 Oct 27;14(11):1366. doi: 10.3390/biom14111366.,Stoccoro A,Biomolecules,2024,27-11-2024,PMC11591912,,10.3390/biom14111366
39595507,Dementia and Video Games: Systematic and Bibliographic Review,"Eckert M, Ostermann T, Ehlers JP, Hohenberg G.",Healthcare (Basel). 2024 Nov 19;12(22):2310. doi: 10.3390/healthcare12222310.,Eckert M,Healthcare (Basel),2024,27-11-2024,PMC11593771,,10.3390/healthcare12222310
39591666,Roflumilast and cognition enhancement: A translational perspective,"Prickaerts J, Kerckhoffs J, Possemis N, van Overveld W, Verbeek F, Grooters T, Sambeth A, Blokland A.",Biomed Pharmacother. 2024 Dec;181:117707. doi: 10.1016/j.biopha.2024.117707. Epub 2024 Nov 25.,Prickaerts J,Biomed Pharmacother,2024,26-11-2024,,,10.1016/j.biopha.2024.117707
39588869,Communication Bridge-2 randomized controlled trial: Recruitment and baseline features,"Rogalski E, Bona M, Esparza M, Mooney A, Fried-Oken M, Rademaker A, Roberts A.",Alzheimers Dement. 2025 Jan;21(1):e14168. doi: 10.1002/alz.14168. Epub 2024 Nov 26.,Rogalski E,Alzheimers Dement,2025,26-11-2024,PMC11771146,,10.1002/alz.14168
39587504,"Efficacy and safety of Neurocognitive Adaptive Training for Depression combined with SSRIs for treating cognitive impairment among patients with late-life depression: a 12-week, randomized controlled study","Wang X, Zhou J, Zhu K, Wang Y, Ma X, Ren L, Guo C, Zhang Z, Lu P, Zhang Q.",BMC Psychiatry. 2024 Nov 25;24(1):848. doi: 10.1186/s12888-024-06276-z.,Wang X,BMC Psychiatry,2024,26-11-2024,PMC11590405,,10.1186/s12888-024-06276-z
39585065,Utilization of Single-Pulse Transcranial-Evoked Potentials in Neurological and Psychiatric Clinical Practice: A Narrative Review,"Fogel H, Zifman N, Hallett M.",Neurol Int. 2024 Nov 11;16(6):1421-1437. doi: 10.3390/neurolint16060106.,Fogel H,Neurol Int,2024,25-11-2024,PMC11587110,,10.3390/neurolint16060106
39582467,Protective Activity of Melatonin Combinations and Melatonin-Based Hybrid Molecules in Neurodegenerative Diseases,"Galvani F, Cammarota M, Vacondio F, Rivara S, Boscia F.",J Pineal Res. 2024 Nov;76(8):e70008. doi: 10.1111/jpi.70008.,Galvani F,J Pineal Res,2024,25-11-2024,PMC11586835,,10.1111/jpi.70008
39580468,"Post hoc analysis of ADAMANT, a phase 2 clinical trial of active tau immunotherapy with AADvac1 in patients with Alzheimer's disease, positive for plasma p-tau217","Kovacech B, Cullen NC, Novak P, Hanes J, Kontsekova E, Katina S, Parrak V, Fresser M, Vanbrabant J, Feldman HH, Winblad B, Stoops E, Vanmechelen E, Zilka N.",Alzheimers Res Ther. 2024 Nov 23;16(1):254. doi: 10.1186/s13195-024-01620-7.,Kovacech B,Alzheimers Res Ther,2024,23-11-2024,PMC11585249,,10.1186/s13195-024-01620-7
39575854,Plasma pTau217 ratio predicts continuous regional brain tau accumulation in amyloid-positive early Alzheimer's disease,"Devanarayan V, Charil A, Horie K, Doherty T, Llano DA, Andreozzi E, Sachdev P, Ye Y, Murali LK, Zhou J, Reyderman L, Hampel H, Kramer LD, Dhadda S, Irizarry MC; Alzheimer's Disease Neuroimaging Initiative (ADNI).",Alzheimers Dement. 2025 Feb;21(2):e14411. doi: 10.1002/alz.14411. Epub 2024 Nov 22.,Devanarayan V,Alzheimers Dement,2025,22-11-2024,PMC11848419,,10.1002/alz.14411
39574800,"Alcohol consumption and its association with cancer, cardiovascular, liver and brain diseases: a systematic review of Mendelian randomization studies","Bouajila N, Domenighetti C, Aubin HJ, Naassila M.",Front Epidemiol. 2024 Nov 7;4:1385064. doi: 10.3389/fepid.2024.1385064. eCollection 2024.,Bouajila N,Front Epidemiol,2024,22-11-2024,PMC11578756,,10.3389/fepid.2024.1385064
